PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_mcf_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,33519188,441448,1338.6827280599002,18.314724632569277,1356.9974526924696,5.163231470067555,0.0388347159204147,5.20206618598797,41301.55639867498,310.64542023961343,41613.55374120274,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_wrf_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,2506442,3794119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_leela_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,9037,70387,0.3609179259795111,2.920204696165015,3.281122622144526,0.0013920421579126,0.0061920297509338,0.0075840719088464,4.411031547783683,19.620985198565908,25.38393903449404,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_xz_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,138335,623610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_xz_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,19976762,33492157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_specrand_fr_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8,13,0.0003195024242376,0.0005393419388544,0.0008588443630921,1.232304665630338e-06,1.1436257655836975e-06,2.3759304312140354e-06,0.007044276886138,0.0065373578235804,1.3655039228541686,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_x264_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,2526393,1522679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_specrand_ir_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8,12,0.0003195024242376,0.000497854097404,0.0008173565216417,1.232304665630338e-06,1.0556545528464904e-06,2.2879592184768283e-06,0.0065919443334011,0.0056469931841944,1.3641612256620457,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_xalancbmk_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,6079917,332638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_specrand_fs_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_nab_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,5934,260972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_cam4_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,275043,7861137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_xalancbmk_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,6109886,337361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_imagick_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,693102,2278525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_omnetpp_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,6767,2460,0.2702591131020639,0.102060089967834,0.3723192030698979,0.00104237570904,0.0002164091833335,0.0012587848923735,63.6837554398865,13.221479920181483,78.25715764821243,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_omnetpp_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,6789,2448,0.2711377447687176,0.1015622358704299,0.3726999806391476,0.0010457645468705,0.0002153535287806,0.0012611180756512,55.70577674695284,11.471449889771696,68.52914892486898,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_povray_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadEDP,36077,44799,0.1539955504646079,0.5268471944465317,0.6808427449111396,0.0091526354521423,0.0081013246886914,0.0172539601408338,1336.5413919600462,1183.0205444934952,2550.1462049692645,0,0,4.268524280417105,2.5990098057409963,11.760244524353933,0.2536972434554536,0.2536972434554536,0.1808371769167047,30.584268515723085,6.714277156862294
memsyspatternconfig_lbm_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadEDP,8808533,22650710,37.599436985355325,266.3778882502288,303.97732523558415,2.2347005409863967,4.0960904515589736,6.330790992545371,461.75887398108017,846.3801211600635,1338.7232636568667,0,0,4.268524280417105,2.5990098057409963,11.760244524353933,0.2536972434554536,0.2536972434554536,0.1808371769167047,30.584268515723085,6.714277156862294
memsyspatternconfig_bwaves_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadEDP,2212814,95528896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.584268515723085,0,0,4.268524280417105,2.5990098057409963,11.760244524353933,0.2536972434554536,0.2536972434554536,0.1808371769167047,30.584268515723085,6.714277156862294
memsyspatternconfig_cactuBSSN_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadEDP,177705,1392159,0.7585381072515216,16.372130256780043,17.130668364031564,0.0450832686482513,0.2517541033791827,0.2968373720274341,6600.771397987025,36860.0444186212,43491.40008512395,0,0,4.268524280417105,2.5990098057409963,11.760244524353933,0.2536972434554536,0.2536972434554536,0.1808371769167047,30.584268515723085,6.714277156862294
