PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Hits,Total Misses,Total Read Latency (ms),Total Write Latency (ms),Total Hit Latency (ms),Total Miss Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Hit Energy (mJ),Total Miss Energy (mJ),Total Energy (mJ),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_specrand_is_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,8,12,20,0,0.0009555643141587581,0.002688562597324895,0.0009555643141587581,0.0,0.0036441269114836534,4.102216252572146e-05,1.6367857451611545e-05,4.102216252572146e-05,0.0,5.7390019977333004e-05,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_namd_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,14668,114443,129111,0,6.168693208267571,25.640597443804413,6.168693208267571,0.0,31.809290652071986,0.26482062129292117,0.15609889252789833,0.26482062129292117,0.0,0.4209195138208195,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_cactuBSSN_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,134741,3338341,0,0,0.0,747.9448958096822,0.0,0.0,747.9448958096822,0.0,4.553457467739194,0.0,0.0,4.553457467739194,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_imagick_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,693102,2278525,0,0,0.0,510.4964243391422,0.0,0.0,510.4964243391422,0.0,3.107881033327766,0.0,0.0,3.107881033327766,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_exchange2_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,547,1263,1810,0,0.08647857043136761,0.2829712133684452,0.08647857043136761,0.0,0.36944978379981286,0.003712505708577792,0.001722716996782115,0.003712505708577792,0.0,0.005435222705359907,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_nab_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,407803,290226,698029,0,33.35058013239619,65.02423069760125,33.35058013239619,0.0,98.37481082999744,1.4317329542833415,0.395864816395951,1.4317329542833415,0.0,1.8275977706792925,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_cam4_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,274904,7861112,8136016,0,388.7243274512341,1761.2576413818251,388.7243274512341,0.0,2149.981968833059,16.68784853319351,10.722463385596079,16.68784853319351,0.0,27.41031191878959,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_povray_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,36077,44799,80876,0,3.864110973595186,10.037076316463164,3.864110973595186,0.0,13.901187290058349,0.16588542082151242,0.0611053038312288,0.16588542082151242,0.0,0.22699072465274123,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_cactuBSSN_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,177705,1392159,1569864,0,75.00530082412624,311.9088847441024,75.00530082412624,0.0,386.9141855682286,3.2199608075639596,1.898888338498173,3.2199608075639596,0.0,5.118849146062132,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_imagick_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,399560,746234,1145794,0,54.74399288886101,167.19140177101215,54.74399288886101,0.0,221.93539465987317,2.3501473844498246,1.0178543114621574,2.3501473844498246,0.0,3.368001695911982,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
